d,png,pnm,dg,dm,afg,afm,rfg,rfm
0,150.929,147,0,0,0,0,0,0
10,241.022,226,9.8677,8.6402,-0.1323,-1.3598,1.323,13.598
20,329.667,337,19.8075,21.0871,-0.1925,1.0871,0.9625,5.4355
30,416.465,419,29.7697,30.5209,-0.2303,0.5209,0.767666667,1.736333333
40,501.171,501,39.7186,40.1653,-0.2814,0.1653,0.7035,0.41325
50,583.429,569,49.6017,48.3278,-0.3983,-1.6722,0.7966,3.3444
60,664.287,650,59.5371,58.2519,-0.4629,-1.7481,0.7715,2.9135
70,743.564,728,69.4975,68.0218,-0.5025,-1.9782,0.717857143,2.826
80,820.989,831,79.442,81.2558,-0.558,1.2558,0.6975,1.56975
90,896.675,890,89.377,89.0128,-0.623,-0.9872,0.692222222,1.096888889
100,970.407,968,99.2656,99.472,-0.7344,-0.528,0.7344,0.528
